date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:45	12872/12872	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:02:13%20GMT	https://ecofixbd.webflow.io/	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/index.html	(from )
09:06:45	6353/6353	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20May%202025%2003:06:46%20GMT	https://ecofixbd.webflow.io/robots.txt		(from )
09:06:46	399450/399450	---MCZ	200	added ('OK')	text/css	etag:W/%228c9efd14f1dbd66a0c414513962f9d98%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/css/ecofixbd.webflow.shared.8c9efd14f.css	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/css/ecofixbd.webflow.shared.8c9efd14f.css	(from https://ecofixbd.webflow.io/)
09:06:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/EcoFix_Final/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://ecofixbd.webflow.io/)
09:06:47	4807/4807	---M--	200	added ('OK')	image/png	etag:%224ff20fa6aa65e68a21f28fefb0a2c3e9%22	https://cdn.prod.website-files.com/img/webclip.png	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/img/webclip.png	(from https://ecofixbd.webflow.io/)
09:06:47	91645/91645	---M--	200	added ('OK')	image/jpeg	etag:%2267427f739be3acaff2ce5a432e21c496%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b701e2dc0f9d33356cc3c_Presentation1.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b701e2dc0f9d33356cc3c_Presentation1.jpg	(from https://ecofixbd.webflow.io/)
09:06:47	75459/75459	---M--	200	added ('OK')	image/png	etag:%22f1f1717c12f5befae8b470a2ea5d188f%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/6811208e72a0146a1fa96dc7_Untitled_design-removebg-preview.png	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/6811208e72a0146a1fa96dc7_Untitled_design-removebg-preview.png	(from https://ecofixbd.webflow.io/)
09:06:47	10488/10488	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:04:33%20GMT	https://ecofixbd.webflow.io/sign-in	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/sign-in.html	(from https://ecofixbd.webflow.io/)
09:06:48	6353/6353	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2008%20May%202025%2003:06:49%20GMT	https://ecofixbd.webflow.io/sign-up	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/sign-up	(from https://ecofixbd.webflow.io/)
09:06:48	60820/60820	---M--	200	added ('OK')	image/jpeg	etag:%22dcb9d15296bf6e8cc18c4ec77e54c9ce%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b7db9e7ba7c0cfec2e7be_istockphoto-1334046558-612x612.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b7db9e7ba7c0cfec2e7be_istockphoto-1334046558-612x612.jpg	(from https://ecofixbd.webflow.io/)
09:06:48	493734/493734	---M--	200	added ('OK')	image/jpeg	etag:%225c39b2aa091428cc0b6c8beeab55b89b%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b7ebf4f92c6ce33e25684_Smart-waste-bin-level-2.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b7ebf4f92c6ce33e25684_Smart-waste-bin-level-2.jpg	(from https://ecofixbd.webflow.io/)
09:06:49	221554/221554	---M--	200	added ('OK')	image/jpeg	etag:%22147d95fb7c366ea566b174da680e5ff9%22	https://cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b8386839c9d8237a1ac56_marketplace-hero.jpg	C:/My%20Web%20Sites/EcoFix_Final/cdn.prod.website-files.com/680e75d51b1cb01796f30237/681b8386839c9d8237a1ac56_marketplace-hero.jpg	(from https://ecofixbd.webflow.io/)
09:06:49	19805/19805	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20May%202025%2003:02:24%20GMT	https://ecofixbd.webflow.io/request-pickup	C:/My%20Web%20Sites/EcoFix_Final/ecofixbd.webflow.io/request-pickup.html	(from https://ecofixbd.webflow.io/)
